countyFIPS,0,1,2,3,4,5,6,7,8,9,10,11,12,13
34011,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
34013,10.0,8.0,8.0,5.0,7.0,5.0,6.0,6.0,5.0,4.0,3.0,3.0,3.0,3.0
34015,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
34021,4.0,4.0,6.0,5.0,5.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,3.0,3.0
34025,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0
34027,3.0,4.0,3.0,3.0,2.0,2.0,3.0,3.0,2.0,3.0,2.0,2.0,3.0,3.0
34029,5.0,6.0,6.0,6.0,6.0,6.0,5.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0
34031,3.0,4.0,4.0,6.0,7.0,7.0,5.0,3.0,4.0,3.0,5.0,5.0,5.0,4.0
34033,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0
34035,2.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0
34037,1.0,1.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0
34039,6.0,6.0,7.0,7.0,7.0,6.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0
26021,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0
26049,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0
26081,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
26099,3.0,3.0,5.0,5.0,4.0,2.0,2.0,2.0,3.0,4.0,4.0,3.0,3.0,2.0
26125,3.0,4.0,6.0,4.0,4.0,3.0,4.0,2.0,3.0,4.0,3.0,4.0,3.0,3.0
26145,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0
26161,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0
18019,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0
18035,2.0,1.0,0.0,1.0,1.0,2.0,2.0,4.0,2.0,2.0,2.0,2.0,3.0,3.0
18081,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0
18089,2.0,2.0,4.0,4.0,5.0,3.0,3.0,2.0,2.0,4.0,5.0,4.0,4.0,3.0
18091,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0
